facility_name,address,city,state,zip,registry_id,naics_codes,latitude,longitude,npdes_ids,permit_status,is_major,border_facility,active,violations_3yr,dfr_url,design_flow_mgd
#10 SUNSET DRIVE,#10 SUNSET DRIVE,CHERRY HILLS VILLAGE,CO,80113,110072074700,,39.649123,-104.962717,COR428726,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072074700,
#2511057 WSR,FOX HILLS RD AND W BELLEVIEW AVE,MORRISON,CO,80465,110072104156,,39.61473,-105.179605,COR429381,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072104156,
#25862 CO 71 RESURFACING,CO 71 & WCR 84,STONEHAM,CO,80754,110071995366,,40.595981,-103.60057,COR428158,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071995366,
*DUP* HOLCIM - TIER 2 *DUP*,3500 STATE HWY 120,FLORENCE,CO,80906,110071879729,,38.386512,-105.017109,COR425697,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071879729,
"00842-543,00842-254 WM FUEL STATION & REMODEL, PUEBLO, CO",4180 DILLON DRIVE,PUEBLO,CO,81008,110071903551,,38.312481,-104.610475,COR426551,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071903551,
00905-543 WM FUEL STATION LONGMONT CO,2285 E KEN PRATT BLVD,LONGMONT,CO,80504,110071905101,,40.142441,-105.129918,COG081233 COR426379,Failure to Report DMR - Not Received,,,Y,2,https://echo.epa.gov/detailed-facility-report?fid = 110071905101,
"02892-1000 WM FUEL STATION PARKER, CO",11105 S. PARKER RD.,PARKER,CO,80134,110071952857,,39.514544,-104.764473,COR426931,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071952857,
"03082-543 WM FUEL STATION COLORADO SPRINGS, CO",1606 S. ACADEMY BLVD,COLORADO SPRING,CO,80916,110071913176,,38.80901,-104.75765,COR426555,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071913176,
"03582-543 WM FUEL STATION COLORADO SPRINGS, CO",1575 SPACE CENTER DR.,COLORADO SPRINGS,CO,80915,110071904397,,38.856628,-104.721092,COR426553,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071904397,
0456 - CENTRAL AVE BRIDGE REPLACEMENT,5660 CENTRAL AVE,BOULDER,CO,80301,110072074263,,40.01965,-105.22151,COG317234 COR428424,Violation Identified,,,Y,1,https://echo.epa.gov/detailed-facility-report?fid = 110072074263,
0496 - CITY OF LONGMONT - ST VRAIN GREENWAY PH13,CO-119 AND CR 5.5,LONGMONT,CO,80504,110072145508,,40.160513,-105.011986,COG081438,Violation Identified,,,Y,1,https://echo.epa.gov/detailed-facility-report?fid = 110072145508,
0496 - CITY OF LONGMONT - ST. VRAIN GREENWAY PH.13,10916 COUNTY RD 5,LONGMONT,CO,80504,110072106276,,40.16026,-105.01772,COR429259,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072106276,
0500 - CDOT - BROWNS PARK CULVERT REPLACEMENT,1318 SH 318,MAYBELL,CO,81640,110072194176,,40.866015,-109.024519,COG081508,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072194176,
"05051-543 WM FUEL STATION GREELEY, CO",920 47TH AVE,GREELEY,CO,80634,110071782296,,40.422458,-104.752017,COR422554,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071782296,
0506 - PITKIN COUNTY REDSTONE S BRIDGE RPLCMNT PROJECT,HWY 133 / REDSTONE BLVD,REDSTONE,CO,81623,110072145645,,39.180866,-107.240864,COG081436,Violation Identified,,,Y,1,https://echo.epa.gov/detailed-facility-report?fid = 110072145645,
0513 - GARTRELL ROAD BRIDGE WIDENING,GARTRELL ROAD / E-470,AURORA,CO,80016,110072164259,,39.576944,-104.723889,COR430437,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072164259,
"1 MG WTP, AKA LOWER PLANT",41576 LAMBORN MESA RD,DELTA COUNTY,CO,81428,110043273551,,38.85167,-107.58369,COG641134,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110043273551,
1.5 MG ELEVATED WATER TANK,10277 WCR 76.5,SEVERANCE,CO,80550,110071408880,,40.544834,-104.876809,COR419849,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071408880,
10 WILDROSE TRAIL,10 WILDROSE TRAIL,CHERRY HILLS VILLAGE,CO,80113,110072076461,,39.65153,-104.95227,COR428293,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072076461,
100 ST PAUL,100 ST PAUL ST,DENVER,CO,80206,110056126972,,39.71807,-104.95112,COG315289 COG315532 COG318008,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110056126972,
"1001-543, 1001-252 PUEBLO, CO - WM FUEL STATION & REMODEL, PUEBLO, CO",4050 W. NORTHERN AVENUE,PUEBLO,CO,81005,110071781727,,38.234342,-104.664103,COR420596,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071781727,
1024 19 RD LLC,1024 19 RD,FRUITA,CO,81521,110071409175,,39.151882,-108.700631,COR419771,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071409175,
103 WOOD ROSE LANE,103 WOOD ROSE LANE,DURANGO,CO,81301,110070743524,,37.271772,-107.926172,COR408605,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070743524,
104 AVE PROFESSIONAL AND MEDICAL CENTER,104 AVE AND POTOMAC ST,COMMERCE CITY,CO,80022,110064733123,,39.8861,-104.829166,COR03G147 COR403305,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110064733123,
1040 SANTA FE DRIVE,1040 SANTA FE DRIVE,DENVER,CO,80204,110071369676,,39.732954,-104.998531,COR419084,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071369676,
104TH COMMERCE PARK,NE OF E 104TH AVE AND JOLIET ST,COMMERCE CITY,CO,80640,110070926657,,39.88563,-104.86049,COR411584,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070926657,
104TH COMMERCE PARK - LOT 4,11511 E. 104TH - 104TH COMMERCE PARK (A PORTION OF,COMMERCE CITY,CO,80640,110072202576,,39.887537,-104.858981,COR431057,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072202576,
"10763 TURNER BOULEVARD, LONGMONT, COLORADO 80504","10763 TURNER BOULEVARD, LONGMONT, COLORADO 80504",LONGMONT,CO,80504,110071897532,,40.15731,-104.98131,COPIU008R,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071897532,
1095 CANYON BLVD. LTD.,1095 CANYON BOULEVARD,BOULDER,CO,80302,110033164910,,40.015556,-105.2825,COG072682 COG318053 COG603125,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110033164910,
10TH & CHEROKEE,990 CHEROKEE STREET,DENVER,CO,80204,110071427094,,39.73203,-104.99148,COR420451,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071427094,
10TH AVENUE RESIDENCES,8210 W 10TH AVE,LAKEWOOD,CO,80214,110071821591,,39.73237,-105.08971,COR424504 COUT00315,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071821591,
1111 TOWER - FOUR SEASONS HOTEL,1111 14TH STREET,DENVER,CO,80202,110032939658,721110,39.74635,-104.99854,COG072676,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110032939658,
11250 WADSWORTH PARKWAY (DG/DE),INTERSECTION OF WADSWORTH PARKWAY AND W 116TH CIR,BROOMFIELD,CO,80021,110071816150,,39.903549,-105.096492,COR424164,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071816150,
112TH AVE WIDENING,112TH AVE + YORK ST,THORNTON,CO,80233,110070563642,,39.89944,-104.94915,COR405269,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070563642,
112TH AVE-UPTOWN AVE,112TH AVENUE,BROOMFIELD,CO,80020,110071506249,,39.900117,-105.078224,COR421224,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071506249,
1130 & 1170 WILLOUGHBY WAY,1170 WILLOUGHBY WAY,ASPEN,CO,81611,110071904009,,39.208022,-106.831999,COR426289,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071904009,
1144 15 STREET,1144 15 ST,DENVER,CO,80202,110059790588,,39.747204,-104.997249,COG315315 COG318005 COR03M637,Terminated Permit,,,Y,5,https://echo.epa.gov/detailed-facility-report?fid = 110059790588,
115 ELEVATION DRIVE,115 ELEVATION DRIVE,DURANGO,CO,81301,110072074031,,37.223381,-107.81726,COR428598,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072074031,
1155 CANYON CONDOMINIUMS,1155 CANYON BLVD,BOULDER COUNTY,CO,80302,110024815976,,40.016667,-105.3,COG072204 COG318082 COG603165,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110024815976,
11681 PROGRESS LANE,11681 PROGRESS LANE,PARKER,CO,80134,110071816015,,39.53244,-104.76907,COR424289,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071816015,
119 SELF STORAGE,HWY 119 AND CR 25,LONGMONT,CO,80504,110070548086,,40.15985,-105.03153,COR03V039 COR405125,Terminated Permit,,,Y,1,https://echo.epa.gov/detailed-facility-report?fid = 110070548086,
11988 COLORADO 103,11988 COLORADO 103,IDAHO SPRINGS,CO,80452,110071953652,,39.74464,-105.53318,COR427318,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071953652,
11TH AVE EXTENSION,4911 W 11TH AVE,DENVER,CO,80204,110071816942,,39.734,-105.05069,COR424098,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071816942,
12 AND WELLINGTON DEVELOPMENT,N 12 ST AND WELLINGTON AVE,GRAND JUNCTION,CO,81501,110070505894,,39.08972,-108.55194,COR03U470 COR401850,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070505894,
"12"" AVON TO RIFLE - MAMM CREEK",WEST OF MAMM CREEK ROAD/CO. RD 315,UNINCORPORATED,CO,81652,110072203595,,39.518793,-107.692944,COR430835,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072203595,
1201-1245 QUIVAS STREET DEMOLITION,1201 QUIVAS STREET,DENVER,CO,80204,110072130923,,39.73541,-105.00778,COR429597,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072130923,
