facility_name,address,city,state,zip,registry_id,naics_codes,latitude,longitude,npdes_ids,permit_status,is_major,border_facility,active,violations_3yr,dfr_url,design_flow_mgd,facility_type,receiving_waters
UPS FREIGHT COMMERCE CITY,5300 E 56 AVE,COMMERCE CITY,CO,80022.0,110070152687,,39.79832,-104.92491,COR901427,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070152687,,,
TWENTYMILE COAL COMPANY,29515 COUNTY ROAD 27,OAK CREEK,CO,80467.0,110000873671,21311 212115 212112,40.341084,-107.027308,CO0027154 CO0036684 CO0042161,Violation Identified,Y,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110000873671,4.55,,
TROUT VALLEY RANCH,HWY 285 AND HWY 9,FAIRPLAY,CO,80440.0,110070072900,,39.20116,-105.98831,COG502146,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072900,,,
TRINITY PACKAGING CORP,33500 LOCKHEED AVE,PUEBLO,CO,81001.0,110070152672,323113,38.278185,-104.484012,COR901383,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070152672,,,
TRIMAC TRANSPORTATION - GREELEY,2600 2 AVE,GREELEY,CO,80631.0,110069415706,484220 811111 488490 484230,40.396149,-104.680317,COPU00168 COR901313,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110069415706,,,
TRI STATE GENERATION CRAIG,2101 S RANNEY,CRAIG,CO,81625.0,110041086393,221112,40.4627,-107.5912,COG074737 COR900399,Violation Identified,Y,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110041086393,,,
TRI COUNTY PIT,35569 BACK RIVER RD,DELTA COUNTY,CO,81419.0,110064106925,,38.810833,-107.695278,COG500255 COG500498,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110064106925,,,
TRENWA INC,5424 CR 12,DACONO,CO,80514.0,110046293275,,40.072777,-104.9525,COR900825,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046293275,,,
TRASH COMPANY,723 CR 612,GRANBY,CO,80446.0,110046304708,,40.09,-105.952777,COR900998 COR901395,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046304708,,,
TRAPPER MINING INC,S 5&6 T5NR90W S 29-32 T6NR90W,CRAIG 5.1 MI. S OF,CO,81625.0,110008302522,212111 212299 212114,40.416944,-107.545556,CO0032115,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110008302522,2.5,,
TRANSPORT BUS FACILITY,6570 PORTNER RD,FORT COLLINS,CO,80522.0,110046290759,,40.49569,-105.06613,COR900830,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046290759,,,
TRADE CENTER AUTO SALVAGE GJ,2236 HWY 6 & 50,GRAND JUNCTION,CO,81505.0,110046319989,,39.10655,-108.637221,COR900744,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046319989,,,
ACME DISTRIBUTION,18101 E COLFAX AVE,AURORA,CO,80011,110012253426,49311,39.74026,-104.77786,COR900568,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110012253426,,,
ACE EXPRESS COACHES,14000 W 44 AVE,GOLDEN,CO,80403,110046297850,,39.77624,-105.15843,CONOX0854 COR900064,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046297850,,,
ABC USED PARTS,1143 S ROYER ST,COLORADO SPRINGS,CO,80903,110070152669,,38.818349,-104.815383,COR901378,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070152669,,,
A 1 AUTO AND TRUCK RECYCLERS,62651 HWY 50,PENROSE,CO,81240,110060359179,,38.426,-105.066,COR901250,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110060359179,,,
929 PEARL ST DEWATERING SYSTEM,929 PEARL ST,BOULDER,CO,80302,110056399464,,40.0172,-105.28334,COG318093 COG603233,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110056399464,,,
8 MILE CLAY MINE,CR 62 AND BUMBACK GULCH,CANON CITY,CO,81212,110070055118,,38.509851,-105.349484,COG501799,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070055118,,,
70 W TRUCKING - FRASER READY MIX PLANT,2270 COUNTY ROAD 5,FRASER,CO,80442,110007240510,327320,39.966937,-105.85318,COR900799,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110007240510,,,
6 S PIT NO 1,NO ADDRESS GIVEN,PUEBLO,CO,81005,110070054898,,37.9696,-105.0315,COG501722,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070054898,,,
5-2-1 DRAINAGE AUTHORITY,VARIOUS LOCATIONS,GRAND JUNCTION,CO,81501,110044271882,,39.068,-108.563,COR090100,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110044271882,,,
5 MILE PIT,208 STONE QUARRY RD (CR 300),PARACHUTE,CO,81635,110069995522,,39.39843,-108.10757,COG501617,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110069995522,,,
ALBERT FREI & SONS INC,33501 US HIGHWAY 6 AND I-70/PORTABLE SOURCE,IDAHO SPRINGS,CO,80452,110007239880,212321,39.751111,-105.436389,COG500268,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110007239880,,,
AGRI DLD GRAVEL PIT,CR 307,DURANGO,CO,81301,110070053955,,37.2,-107.783,COG501844,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070053955,,,
AFCO STEEL,31455 COUNTY ROAD 39 1/2,GREELEY,CO,80631,110022515633,332312,40.457802,-104.688843,COR900659,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110022515633,,,
ADVANCE TANK AND CONSTRUCTION,3700 E CR 64,WELLINGTON,CO,80549,110046325008,,40.7125,-105.008333,COR900655,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046325008,,,
ADAMS COUNTY SCHOOL DISTRICT NO 14,VARIOUS LOCATIONS,COMMERCE CITY,CO,80022,110043756272,,39.805,-104.927,COR070043,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110043756272,,,
ADAMS COUNTY PUBLIC WORKS/ENGR,VARIOUS LOCATIONS,WESTMINSTER,CO,80234,110044271695,,39.917,-105.006,COR090041,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110044271695,,,
ACTION RECYCLING CENTER,7610 W 42ND AVE,WHEAT RIDGE,CO,80033,110012212051,562920,39.773655,-105.082058,COR901016,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110012212051,,,
ACR RECYCLE FACILITY,2104 JANITELL RD,COLORADO SPRINGS,CO,80906,110070696036,,38.80469,-104.79243,COR901536,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070696036,,,
TRADE CENTER AUTO RECYCLING DELTA,1428 HWY 50,DELTA,CO,81416.0,110046320174,,38.760159,-108.098226,COR900756,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046320174,,,
TRADE CENTER AUTO RECYCLING,713 ARROWEST RD,GRAND JUNCTION,CO,81506.0,110046320165,,39.10651,-108.63723,COR900755,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046320165,,,
TRADE CENTER AUTO RECYCLERS,27925 HWY 6,RIFLE,CO,81650.0,110046316679,,39.536982,-107.747983,COR901021,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046316679,,,
TRACKING PADS LLC,3223 N OAKLAND ST,AURORA,CO,80010.0,110071235106,,39.72377,-104.850049,COR901604,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110071235106,,,
TODD CREEK FARMS METRO DIST #1,UNK,UNK,CO,99999.0,110029519055,,39.966667,-104.866667,CO0047341,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110029519055,0.12,,
TJH STONE QUARRY 1,WEST SIDE OF CR 184,DRY CREEK,CO,81424.0,110070063545,,38.123288,-108.730553,COG501860,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070063545,,,
TIRE MOUNTAIN LLC,12311 CR 41,HUDSON,CO,80642.0,110046336498,,40.178493,-104.67916,COR900952,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046336498,,,
